TransactionID,CustomerName,Category,Amount,Branch,Date,Status
382947,James Hernandez,Electronics,723.02,Port Said - Port Fuad,2025-09-24,Success
895693,Michele Jones,Home Appliances,3026.31,Giza - Dokki,2026-03-16,Pending
178794,Robert Carr,Groceries,2395.42,Cairo - Nasr City,2026-03-13,Pending
243005,Mary Sexton,Groceries,9491.68,Alexandria - Smouha,2025-09-20,Success
212607,Kimberly Campbell,Toys,14110.16,Alexandria - Smouha,2025-06-04,Pending
246850,Stephen Garcia,Fashion,1956.88,Suez - Port Tawfik,2025-04-05,Failed
862305,Edward Nichols,Electronics,13148.04,Giza - Dokki,2025-12-10,Success
259018,Austin Castaneda,Toys,8803.88,Giza - Dokki,2025-04-02,Success
365550,Alan Cunningham,Toys,9513.08,Port Said - Port Fuad,2025-04-07,Success
820655,William Cole,Toys,176.85,Cairo - Nasr City,2026-02-09,Failed
767384,Lauren Robinson,Fashion,3516.26,Suez - Port Tawfik,2025-09-30,Failed
212125,Penny White,Electronics,9810.05,Cairo - Nasr City,2025-10-10,Success
808806,Jeremy Bailey,Home Appliances,9859.56,Giza - Dokki,2026-02-12,Failed
272819,Pamela Griffith,Groceries,1303.5,Giza - Dokki,2025-05-01,Success
916181,Roberta Stevens,Electronics,2272.3,Suez - Port Tawfik,2025-09-18,Failed
938365,Rebecca Mitchell,Fashion,736.92,Port Said - Port Fuad,2025-08-10,Failed
465210,Samuel Brown,Fashion,8360.25,Port Said - Port Fuad,2025-11-16,Success
209944,Kristen Howard,Groceries,14777.5,Giza - Dokki,2025-10-09,Pending
232477,Jenna Brennan,Toys,1033.07,Giza - Dokki,2025-10-17,Failed
575760,Todd Barker,Toys,11478.47,Port Said - Port Fuad,2025-07-18,Pending
721563,Ivan Moreno,Electronics,6136.97,Suez - Port Tawfik,2025-07-18,Failed
881403,Harold Meza,Groceries,4983.21,Port Said - Port Fuad,2025-10-08,Success
682304,Ronnie Perez,Toys,7945.93,Alexandria - Smouha,2025-09-24,Failed
938078,Dr. Justin Fletcher,Electronics,10105.67,Suez - Port Tawfik,2025-09-30,Success
530742,Joseph Brown,Home Appliances,6995.27,Giza - Dokki,2026-03-09,Pending
362850,Casey Evans,Home Appliances,13994.35,Port Said - Port Fuad,2025-05-30,Success
788421,Philip Hill,Home Appliances,622.81,Cairo - Nasr City,2025-04-24,Pending
487282,Darren Mckee,Electronics,11873.52,Cairo - Nasr City,2025-08-07,Failed
143593,Willie Olson,Toys,3830.26,Alexandria - Smouha,2025-05-11,Pending
762010,Joseph Conley,Home Appliances,14113.98,Alexandria - Smouha,2026-03-15,Success
502654,William Hamilton,Fashion,1128.96,Alexandria - Smouha,2025-11-27,Success
610228,Cole Davis III,Fashion,14982.94,Cairo - Nasr City,2026-01-01,Pending
173399,Sean Peterson,Home Appliances,14350.34,Giza - Dokki,2025-12-02,Failed
559007,Kerri Shepherd,Electronics,9615.54,Giza - Dokki,2025-08-19,Failed
760686,Trevor Smith,Electronics,7866.38,Suez - Port Tawfik,2026-02-11,Success
608439,Laura Hawkins MD,Groceries,14630.68,Port Said - Port Fuad,2025-04-17,Failed
424289,Melissa Bowers,Home Appliances,8457.1,Alexandria - Smouha,2026-01-02,Pending
418909,Luis Cannon,Electronics,6365.08,Cairo - Nasr City,2025-06-16,Success
764075,Daisy Ramirez,Groceries,5858.02,Port Said - Port Fuad,2025-07-12,Failed
425542,Nicholas Gonzales,Toys,1823.66,Suez - Port Tawfik,2026-02-06,Failed
157152,Kim Vincent,Fashion,7952.8,Giza - Dokki,2026-03-13,Failed
559925,Timothy Duncan,Fashion,9517.45,Port Said - Port Fuad,2025-11-26,Success
345390,Howard Wiley,Fashion,5740.7,Alexandria - Smouha,2026-03-21,Pending
611439,Amanda Jacobs,Home Appliances,252.5,Cairo - Nasr City,2026-03-13,Success
989637,John Fleming,Toys,6374.48,Giza - Dokki,2026-01-31,Failed
891172,Catherine Smith,Groceries,14667.6,Port Said - Port Fuad,2025-11-06,Failed
314378,Amy Walls,Electronics,8778.04,Giza - Dokki,2025-06-02,Success
752229,Samantha Herrera,Groceries,7182.55,Cairo - Nasr City,2025-04-20,Pending
948180,Aaron Walton,Fashion,13379.41,Alexandria - Smouha,2025-11-23,Success
946974,Kenneth Wilson,Toys,6895.45,Giza - Dokki,2025-11-12,Success
380842,Thomas Cameron,Toys,4727.11,Suez - Port Tawfik,2025-04-04,Success
371481,Kristina Perez,Home Appliances,10143.08,Suez - Port Tawfik,2026-02-10,Success
627587,Tamara Garcia,Toys,9457.03,Port Said - Port Fuad,2025-07-10,Pending
493182,Jason King,Groceries,382.36,Suez - Port Tawfik,2025-12-10,Success
618754,Terry Smith,Electronics,7743.24,Cairo - Nasr City,2025-08-08,Pending
526602,Stephen Morales,Groceries,3919.97,Port Said - Port Fuad,2025-05-07,Failed
774769,Adam Price,Electronics,4299.75,Alexandria - Smouha,2026-02-22,Pending
469270,Norman Garcia,Fashion,6544.52,Giza - Dokki,2026-03-19,Failed
256671,David Kim,Fashion,14696.39,Port Said - Port Fuad,2025-09-16,Success
879508,Gloria Castillo,Groceries,2330.07,Cairo - Nasr City,2025-11-16,Success
905793,Richard Lee,Fashion,5387.71,Port Said - Port Fuad,2025-12-31,Failed
857743,Kelsey Christensen,Home Appliances,14639.98,Alexandria - Smouha,2025-11-03,Success
443718,Mario Harris,Toys,3159.27,Suez - Port Tawfik,2025-08-24,Pending
224900,James Schmidt,Toys,12600.8,Suez - Port Tawfik,2025-12-03,Failed
481198,Alex Atkins,Home Appliances,12141.51,Giza - Dokki,2025-08-27,Success
583863,Anthony Hill,Home Appliances,9829.38,Suez - Port Tawfik,2025-05-04,Success
610828,Lisa Warren,Groceries,3080.5,Port Said - Port Fuad,2025-11-11,Success
148949,Thomas Stewart,Groceries,10071.95,Cairo - Nasr City,2026-03-05,Pending
539628,Gwendolyn Wood,Groceries,12967.86,Giza - Dokki,2026-01-14,Pending
614651,Richard Hill,Groceries,5960.23,Suez - Port Tawfik,2025-07-25,Success
317672,Anthony Strickland,Fashion,1365.39,Alexandria - Smouha,2026-03-22,Success
152821,Betty Daniels,Home Appliances,8461.3,Suez - Port Tawfik,2025-05-15,Failed
454723,Traci Thornton,Home Appliances,5377.6,Cairo - Nasr City,2025-09-10,Success
780203,Lisa Davis,Groceries,360.69,Alexandria - Smouha,2026-02-23,Failed
755604,Brian Webb,Home Appliances,1198.02,Giza - Dokki,2025-06-25,Success
879390,Larry James,Fashion,4047.79,Cairo - Nasr City,2026-03-07,Failed
411253,Jessica Clark,Fashion,9107.33,Giza - Dokki,2025-04-07,Success
864918,Bryan Martinez,Fashion,726.16,Suez - Port Tawfik,2026-03-24,Failed
199914,Kristi Martinez,Groceries,3507.43,Giza - Dokki,2025-09-16,Success
781008,Cindy Hess,Groceries,13425.54,Alexandria - Smouha,2025-06-12,Failed
285892,William Adams,Electronics,7391.01,Port Said - Port Fuad,2025-10-23,Success
485024,Stephanie Williams,Fashion,6230.09,Cairo - Nasr City,2025-06-12,Failed
886769,Nicole Brown,Toys,12479.36,Cairo - Nasr City,2025-04-14,Failed
515826,Erin Mills,Groceries,10878.07,Port Said - Port Fuad,2026-03-19,Pending
786906,Gail Smith,Electronics,3459.69,Port Said - Port Fuad,2025-12-27,Success
207198,Margaret Holder,Fashion,7518.95,Giza - Dokki,2025-11-18,Pending
209918,Daniel Guzman,Electronics,3874.46,Suez - Port Tawfik,2025-12-16,Success
679804,Sabrina Harper,Toys,201.5,Giza - Dokki,2026-02-13,Pending
876770,Brianna Austin,Toys,7421.31,Alexandria - Smouha,2026-01-18,Success
732747,Chris Shepherd,Toys,3227.56,Port Said - Port Fuad,2025-04-07,Pending
713570,John Walters,Toys,12014.72,Port Said - Port Fuad,2026-02-17,Failed
783310,Paul Smith,Fashion,14561.95,Alexandria - Smouha,2025-09-13,Failed
724859,Christina Woodard,Groceries,4000.16,Suez - Port Tawfik,2026-03-26,Failed
399039,Andrew Rodriguez,Home Appliances,698.12,Alexandria - Smouha,2025-07-13,Pending
713455,Terri Rasmussen,Fashion,12616.62,Cairo - Nasr City,2025-11-19,Failed
375790,Christine Owens,Toys,14902.96,Giza - Dokki,2025-07-11,Failed
382800,Heidi Watkins,Groceries,10392.33,Suez - Port Tawfik,2025-11-07,Pending
994504,Lance James,Toys,4133.67,Cairo - Nasr City,2025-10-28,Success
207624,Tanya Cummings,Home Appliances,9278.36,Suez - Port Tawfik,2025-08-01,Failed
290447,Joanna Pham,Groceries,8566.93,Port Said - Port Fuad,2025-05-13,Failed
380182,Michael Morales,Home Appliances,12698.0,Alexandria - Smouha,2025-08-26,Success
997751,John Arnold,Home Appliances,10435.64,Cairo - Nasr City,2025-09-08,Failed
501225,Laura Hunter,Groceries,1200.52,Cairo - Nasr City,2025-11-16,Pending
124945,Frank Nicholson,Electronics,5659.97,Alexandria - Smouha,2025-07-19,Pending
766711,Shelly Gonzalez,Toys,5181.5,Port Said - Port Fuad,2025-06-09,Pending
430434,Jenny Benson,Electronics,14262.79,Giza - Dokki,2025-08-02,Pending
624464,Michael Johnson,Groceries,9173.41,Cairo - Nasr City,2026-03-10,Pending
797330,Mason Ramos,Electronics,10490.76,Port Said - Port Fuad,2026-03-18,Pending
860444,Michael Perry,Home Appliances,3485.65,Cairo - Nasr City,2025-07-06,Pending
488593,David Hull,Groceries,7316.42,Giza - Dokki,2025-09-04,Pending
979549,Krystal Williams,Fashion,4052.94,Cairo - Nasr City,2026-03-12,Failed
749252,Rachel Barker,Toys,2677.51,Giza - Dokki,2026-02-01,Pending
766986,Jonathan Nelson,Fashion,9983.0,Giza - Dokki,2026-01-16,Success
324196,Joseph Figueroa,Electronics,8026.38,Cairo - Nasr City,2026-02-27,Success
972110,Erika Lee,Fashion,3747.61,Suez - Port Tawfik,2025-05-14,Pending
448678,Gabriella Hernandez,Toys,8987.82,Giza - Dokki,2026-02-02,Failed
455368,Lisa Nichols,Groceries,2053.74,Giza - Dokki,2025-06-09,Failed
888301,Denise Ochoa,Fashion,11884.64,Giza - Dokki,2025-12-29,Failed
843528,Lisa Benjamin,Groceries,13513.55,Giza - Dokki,2025-08-18,Failed
501654,Laura Chapman,Fashion,903.73,Giza - Dokki,2026-01-05,Failed
729302,Christina Walker,Home Appliances,4132.36,Suez - Port Tawfik,2025-04-13,Failed
381598,Kathy Noble,Electronics,10833.2,Giza - Dokki,2026-03-21,Pending
672325,Todd Banks,Home Appliances,11189.76,Suez - Port Tawfik,2025-08-12,Failed
770303,Katie Camacho,Toys,9935.17,Suez - Port Tawfik,2025-10-12,Success
716947,Alan Wilson,Toys,4825.25,Cairo - Nasr City,2025-06-16,Success
936410,Jessica Frazier,Toys,11952.67,Cairo - Nasr City,2025-04-11,Failed
333511,Kyle Garcia,Electronics,2107.26,Giza - Dokki,2025-10-18,Success
275104,Courtney Bentley,Groceries,8865.96,Alexandria - Smouha,2025-11-02,Success
847022,Jasmine Blankenship,Electronics,6879.22,Cairo - Nasr City,2025-08-29,Pending
136227,Francisco Garcia,Fashion,7755.39,Giza - Dokki,2025-06-27,Pending
464006,Brandon Rodriguez,Electronics,6451.1,Suez - Port Tawfik,2026-01-21,Success
663029,Joseph Hayden,Electronics,12415.6,Suez - Port Tawfik,2025-09-27,Pending
252999,Mark Hunt,Home Appliances,2783.17,Suez - Port Tawfik,2025-07-10,Failed
839447,Stanley Contreras,Toys,12795.78,Port Said - Port Fuad,2026-03-31,Failed
611623,Edwin Hampton,Groceries,9415.7,Alexandria - Smouha,2026-01-15,Pending
307599,Timothy Fisher,Electronics,3701.08,Alexandria - Smouha,2025-04-27,Pending
719134,John Gonzales,Home Appliances,13803.57,Port Said - Port Fuad,2025-08-25,Success
754441,Jeffrey Carter,Toys,4522.47,Port Said - Port Fuad,2025-08-16,Failed
340287,John Newman,Fashion,9345.48,Alexandria - Smouha,2026-02-14,Pending
619865,Tammy Rosario,Fashion,4029.25,Giza - Dokki,2026-02-23,Pending
616136,Jonathan Owens,Home Appliances,6332.89,Cairo - Nasr City,2026-02-07,Pending
769676,Kevin Mack,Electronics,1915.52,Suez - Port Tawfik,2026-01-12,Success
825743,Anne Woods,Toys,11953.14,Cairo - Nasr City,2025-08-25,Success
653436,Kimberly Wilcox,Fashion,11989.61,Port Said - Port Fuad,2025-06-26,Pending
198533,Kelsey Estrada,Groceries,10042.61,Port Said - Port Fuad,2025-07-30,Failed
870538,Jennifer Shaw,Electronics,12240.82,Port Said - Port Fuad,2025-09-21,Failed
269005,Julia Knight,Toys,13535.57,Cairo - Nasr City,2025-11-06,Pending
407685,Bryan Salinas,Fashion,11432.04,Suez - Port Tawfik,2025-12-18,Success
173040,Andrew Rogers,Groceries,3064.85,Cairo - Nasr City,2025-10-01,Failed
122988,Kimberly Morris,Fashion,4239.97,Cairo - Nasr City,2025-11-14,Pending
216992,Robert Dean,Groceries,2014.9,Alexandria - Smouha,2025-10-24,Pending
457000,Kelly Gallagher,Groceries,2588.05,Port Said - Port Fuad,2025-11-18,Success
227819,Michael Lopez,Toys,9707.6,Port Said - Port Fuad,2025-04-13,Pending
588091,Dr. Cynthia Meyer,Fashion,9700.3,Port Said - Port Fuad,2026-01-18,Failed
307036,Donna Taylor,Fashion,12179.66,Suez - Port Tawfik,2025-09-21,Failed
820112,Elizabeth Brown,Toys,10430.32,Suez - Port Tawfik,2025-05-31,Success
585261,Jimmy Cole,Toys,12011.59,Suez - Port Tawfik,2025-11-28,Success
718408,Justin Gutierrez,Fashion,7649.95,Giza - Dokki,2025-07-08,Success
860885,Shirley Brown,Electronics,10772.4,Suez - Port Tawfik,2025-10-04,Success
425621,Michael Patterson,Groceries,5021.17,Suez - Port Tawfik,2026-01-18,Success
225657,Mark Webb,Toys,4317.42,Alexandria - Smouha,2025-10-04,Pending
930786,Jared Robinson,Toys,7131.29,Cairo - Nasr City,2026-02-10,Failed
157299,Kayla Smith,Home Appliances,1267.55,Suez - Port Tawfik,2025-10-30,Success
521920,Jasmine Miller,Electronics,14032.7,Alexandria - Smouha,2025-07-26,Success
453897,Zachary Smith,Home Appliances,4787.0,Port Said - Port Fuad,2025-05-14,Success
267393,Robert Parker,Groceries,1367.85,Giza - Dokki,2025-10-30,Failed
666210,Tim Garner,Home Appliances,217.91,Alexandria - Smouha,2025-08-11,Success
993913,Jacob Thomas,Home Appliances,1452.64,Giza - Dokki,2025-09-28,Failed
624549,Jennifer Soto,Electronics,10561.15,Suez - Port Tawfik,2025-12-12,Failed
392573,Maria Barr,Electronics,11498.93,Giza - Dokki,2026-02-21,Pending
489092,Thomas Lindsey,Home Appliances,10162.21,Port Said - Port Fuad,2026-01-14,Failed
884657,Troy Hinton,Home Appliances,12772.33,Giza - Dokki,2025-12-24,Pending
500085,Diamond Davis,Toys,3993.18,Cairo - Nasr City,2026-02-10,Pending
792023,Mr. Nathaniel Tanner,Electronics,4469.84,Port Said - Port Fuad,2025-11-26,Pending
880083,Bethany Lee,Fashion,12003.43,Suez - Port Tawfik,2025-08-06,Pending
986282,John Williams,Toys,6761.13,Port Said - Port Fuad,2025-05-29,Failed
741437,Kelli Barajas,Groceries,12064.21,Giza - Dokki,2025-09-07,Success
307025,Katie Valdez,Groceries,2885.89,Giza - Dokki,2025-06-17,Pending
768203,Austin Bennett,Fashion,2439.88,Port Said - Port Fuad,2025-09-18,Failed
667366,Kayla Fritz,Toys,11170.11,Port Said - Port Fuad,2026-01-19,Failed
740872,Tonya Daniels,Fashion,251.3,Giza - Dokki,2025-12-13,Pending
269319,Cynthia Perez,Electronics,7613.45,Alexandria - Smouha,2025-09-29,Success
746986,Jodi Johnson,Home Appliances,3205.22,Alexandria - Smouha,2026-01-11,Failed
545828,Sarah Rosales,Home Appliances,3790.15,Suez - Port Tawfik,2026-01-20,Success
412225,Kelly Young,Toys,7611.6,Suez - Port Tawfik,2025-07-30,Success
527442,Crystal Cross,Toys,3103.83,Alexandria - Smouha,2026-02-17,Success
291582,Joshua Greene,Electronics,14910.44,Alexandria - Smouha,2025-05-09,Success
161417,April Zimmerman,Toys,8886.45,Port Said - Port Fuad,2025-12-23,Pending
255874,Steve Chavez,Groceries,8129.52,Suez - Port Tawfik,2025-07-28,Pending
388663,Sonya Garcia,Electronics,8709.14,Alexandria - Smouha,2025-10-20,Success
170983,Robert Wolfe,Fashion,13735.56,Port Said - Port Fuad,2025-10-24,Success
776370,Haley Craig,Home Appliances,2379.49,Suez - Port Tawfik,2025-07-12,Failed
775171,Kathy Davis,Electronics,1761.46,Port Said - Port Fuad,2025-05-07,Failed
934779,Joshua Wagner,Electronics,10874.72,Giza - Dokki,2026-03-07,Pending
611740,Robert Powell,Electronics,228.68,Suez - Port Tawfik,2025-08-13,Failed
371803,Katrina Henderson,Fashion,3140.59,Cairo - Nasr City,2026-03-27,Pending
161398,Jeffrey Dunlap,Toys,940.21,Giza - Dokki,2025-10-28,Success
851158,Diane Moore,Electronics,6124.88,Alexandria - Smouha,2026-02-13,Success
140959,Courtney Ellis,Home Appliances,11502.22,Alexandria - Smouha,2025-09-28,Pending
563190,Amanda Howe,Fashion,10536.85,Cairo - Nasr City,2026-01-26,Failed
324193,Dr. Natasha Pineda DDS,Toys,5579.21,Port Said - Port Fuad,2025-11-23,Success
334837,Eric Yates,Groceries,14497.49,Cairo - Nasr City,2025-04-25,Pending
129431,Sarah Phillips,Fashion,10699.49,Cairo - Nasr City,2025-05-08,Pending
446731,Brian Wilson,Groceries,4258.33,Suez - Port Tawfik,2026-01-02,Pending
569928,Matthew Wilson,Home Appliances,11779.5,Suez - Port Tawfik,2025-10-27,Failed
975205,Charles Garrett,Fashion,11904.31,Suez - Port Tawfik,2025-09-03,Failed
662124,Dr. Jonathan Grimes,Electronics,4058.76,Suez - Port Tawfik,2026-01-11,Success
439886,Ashley Roberson,Toys,8289.07,Port Said - Port Fuad,2025-12-05,Failed
620439,Christina Torres,Electronics,5325.77,Giza - Dokki,2025-12-28,Pending
260306,David Jackson,Toys,12965.2,Port Said - Port Fuad,2025-04-30,Failed
621715,Robert King,Toys,10731.14,Port Said - Port Fuad,2026-01-11,Pending
967139,Amy Malone,Toys,10961.05,Giza - Dokki,2026-01-17,Success
743167,Sean Roberts,Electronics,9247.42,Port Said - Port Fuad,2025-04-21,Pending
740277,Brittany Little,Electronics,9433.22,Suez - Port Tawfik,2025-10-10,Success
802924,Elizabeth Tucker,Home Appliances,545.76,Suez - Port Tawfik,2026-01-21,Success
624553,Savannah Kelley,Fashion,7685.43,Suez - Port Tawfik,2025-07-07,Failed
663082,Lauren Graham,Electronics,12603.62,Port Said - Port Fuad,2025-11-14,Success
410731,Steve Collins,Groceries,3342.82,Suez - Port Tawfik,2025-08-05,Pending
457902,Andrew Taylor,Groceries,4395.32,Giza - Dokki,2026-03-05,Success
257055,Danielle Rogers,Fashion,13465.81,Giza - Dokki,2026-03-07,Pending
143820,Morgan Powell,Electronics,4597.86,Alexandria - Smouha,2025-05-05,Failed
535110,Ms. Valerie Cunningham,Fashion,6534.4,Suez - Port Tawfik,2025-08-06,Failed
995478,Joshua Anderson,Toys,4812.02,Alexandria - Smouha,2025-06-08,Pending
586212,Anthony Robinson,Home Appliances,5967.66,Suez - Port Tawfik,2025-06-16,Failed
415863,Brandy Lopez,Home Appliances,13198.14,Suez - Port Tawfik,2025-10-25,Pending
492291,Gregory Davis,Home Appliances,10502.5,Alexandria - Smouha,2025-08-22,Failed
355520,Jennifer Taylor,Groceries,1597.27,Giza - Dokki,2025-12-16,Success
145249,Melissa Garrett,Fashion,9913.97,Giza - Dokki,2025-08-13,Success
390174,Susan Huerta,Electronics,8919.16,Cairo - Nasr City,2025-05-27,Pending
268828,Christopher Brown,Fashion,11081.63,Alexandria - Smouha,2025-07-31,Failed
262905,Casey Nguyen,Home Appliances,10015.29,Port Said - Port Fuad,2026-02-07,Failed
703406,David Smith,Fashion,11339.02,Suez - Port Tawfik,2025-11-02,Success
822276,James Strickland,Fashion,4687.88,Giza - Dokki,2025-09-26,Pending
585631,David Adams,Groceries,4862.44,Alexandria - Smouha,2026-03-21,Success
300245,Bobby Martin,Toys,13897.81,Alexandria - Smouha,2025-06-13,Failed
737993,Greg Salazar,Home Appliances,7031.44,Port Said - Port Fuad,2025-12-15,Pending
185760,Sandra Drake,Fashion,10168.02,Port Said - Port Fuad,2025-08-27,Failed
727704,Melanie Contreras,Toys,6287.48,Port Said - Port Fuad,2026-01-05,Pending
701787,Abigail Hernandez,Fashion,13260.58,Port Said - Port Fuad,2026-01-11,Failed
756572,Bryan Ball,Fashion,4574.66,Suez - Port Tawfik,2025-07-31,Pending
681716,Daniel Newton,Fashion,1487.26,Alexandria - Smouha,2025-07-20,Failed
406338,Amanda Blackwell,Groceries,1362.56,Port Said - Port Fuad,2025-10-01,Pending
439050,Brittany Sanders DVM,Fashion,13483.92,Cairo - Nasr City,2025-11-07,Pending
948884,Leslie Adams,Fashion,13616.71,Cairo - Nasr City,2025-06-19,Failed
827145,Steven Schmidt,Groceries,3882.27,Cairo - Nasr City,2025-05-27,Success
248714,Rebecca Ingram,Electronics,10604.84,Alexandria - Smouha,2026-02-25,Success
763140,Jane Hunt,Home Appliances,14194.01,Port Said - Port Fuad,2025-04-25,Success
441860,Gary Pitts,Electronics,4663.86,Cairo - Nasr City,2025-12-18,Success
640843,Steve Walker,Electronics,3903.6,Cairo - Nasr City,2025-10-09,Pending
512574,Michael Moss,Home Appliances,4867.34,Alexandria - Smouha,2025-07-11,Success
468962,Ronald Jones,Electronics,4617.8,Cairo - Nasr City,2026-01-30,Failed
516748,Jonathan Burnett,Electronics,12123.52,Port Said - Port Fuad,2025-04-25,Failed
857513,Kathryn Bailey,Fashion,2743.37,Alexandria - Smouha,2025-08-26,Failed
359482,Austin Martinez,Electronics,10334.38,Port Said - Port Fuad,2025-06-13,Failed
